,created_at,text,favorite_count,retweet_count
91,2018-10-19 13:22:52,正規線形モデルで、誤差が独立って仮定があるけど、これ無相関って仮定じゃだめなんか。分散の加法性を言いたいだけなら無相関でも良さそうだけど、独立じゃないとだめな理由あったっけかと考えていたけど分布の再生性は独立じゃないと成立しないのか。,0,0
92,2018-10-19 12:18:23,線形モデル(パラメータの線形結合+誤差のモデル)において、各誤差が ・独立 ・正規性 を仮定できるときに最小二乗法を用いてパラメータを推定すると、モデル(観測値の予測値のモデル)の期待値が最小分散の不偏推定量である。 推定量の(複… https://t.co/slPA39Qkiv,0,0
93,2018-10-19 10:18:03,微積分に関しては一通り終わってだいぶ統計の教科書の式変形に対応できるようになったけど、関数の連続性、積分可能性のとこと線積分、面積分あたりはまだまだ… 複素解析の入門書を買ったのでそれと組み合わせた方が線積分あたりは理解が進みそう。,1,0
94,2018-10-19 10:14:26,今週末は最小二乗法を射影子の考え方から理解すること。自分の持ってる線形代数の入門書には射影子って言葉が載ってなかったんだけど自分にはだいぶ高度な内容っぽい。レベルが１つ上の線形代数の教科書買わないといけない気がする。これを乗り切ればばだいぶ数学力上がると信じてやっていく。,0,0
95,2018-10-15 16:15:20,シュワルツの不等式使って、内積によってベクトルの長さが定義されるってとこがしっくりこない。天下り的にcosθを出しているような気がしてならない。 https://t.co/BrkueVH0yg,0,0
96,2018-10-15 14:21:32,pandasがゲロ重い,0,0
97,2018-10-15 14:21:07,Pythonでプログラム中にメモリ解放(ガベージコレクションに持ってく)する方法あるんか,0,0
98,2018-10-15 13:23:29,今日の勉強では、具体例で理解できない時でも一般化されたものの方がすんなり入ってくることもあることを学んだ。分かんないときにどうしても具体的なものを考えがちになってしまう時があって止まってしまうことがあるので気をつける。,1,0
99,2018-10-15 09:39:09,教科書の言葉も結構使ってはいるけど、自分の言葉で説明し直すの難しい。,0,0
100,2018-10-15 09:38:18,TeXの練習も兼ねて統計の勉強記録を書き始めた。TeXの設定だけで大分時間とられた…とりあえず目次だけ。いつ書き終わるんでしょうね。 https://t.co/N0UtAQdIpP,0,0
101,2018-10-14 16:31:39,休みが終わってしまう,0,0
102,2018-10-14 16:23:36,statsmodels独立なパッケージかと思ったたけど中でscipy呼んでたのね,0,0
103,2018-10-14 09:16:33,読んでて少ししんどいくらいの適切なレベルの教科書を選ぶ必要がある(いま全部だいぶしんどい),0,0
104,2018-10-14 06:14:40,固有値・固有ベクトルの幾何的な意味: 固有値は、線形変換後の新たな座標系での各軸成分の比例定数になっている。固有ベクトルはその座標系の基底になる。,1,0
105,2018-10-14 06:12:19,おれもエディタとIDEかわいいテーマにして外に出よう,0,0
106,2018-10-13 14:38:03,前FFの方に型の桁数に関して教えていただいたのにすっかり忘れていて終了直前に急いでlong longに直して１つWAをくらった,0,0
107,2018-10-13 08:11:47,BeautifulSoupで扱ってたオブジェクトもDOMだったってことか,0,0
108,2018-10-13 08:06:32,DOM(ドキュメント・オブジェクト・モデル): HTMLやXMLをプログラム上で使うためのAPIで、HTMLとAjaxを結びつけるため使われる。DOMによりAjaxを使って動的にWebページを扱うときに、HTML、XMLを各要素(… https://t.co/I6sFP1KF1I,0,0
109,2018-10-13 07:05:10,機械学習モデルと統計モデルなにが違うですか。統計モデルは特定の分布を仮定してモデルを作るってなんかの記事にあったんですけど、機械学習モデルはそういう仮定ないんですか。,0,0
110,2018-10-13 06:53:26,AGCは灰色の人間に出る価値があるだろうか…,0,0
111,2018-10-13 05:19:21,https://t.co/EFLuT6bKxH,0,0
112,2018-10-12 16:50:59,ほんとに最近これを感じる&lt;RT,0,0
113,2018-10-12 15:49:02,JavaScriptと簡単な基礎を復習したので明日は朝からnode.js触ってみる。,0,0
114,2018-10-12 10:13:31,強く生きよう,1,0
115,2018-10-12 10:12:51,TeXの練習のためにAtom使い始めたんだけど結構良さげ。,0,0
116,2018-10-12 00:24:03,もっと勉強する時間を捻出しなければ… 今日の朝勉強は終わり,1,0
117,2018-10-12 00:23:19,今まで文章書く時Wordしか使ったことなかったんですけどTeXってすごいですね。自分の使いやすいエディタ使って文章書けるところがすごい。Wordでもキーバインド変えたりできるのかな、調べるつもりはないけど。,0,0
118,2018-10-11 23:21:35,ランク: 線形写像の像の次元。係数行列Aのランクはrank Aと書く。,1,0
119,2018-10-11 22:30:37,基本的な集合の概念(全単射とか濃度の基礎事項)までやったんですけど、内田「集合と位相」読めるでしょうか。いい本らしい,0,0
120,2018-10-11 22:20:39,高次元(4次元以上)のベクトル空間ってどうすればイメージできるんだろか。簡単な例で、2次元空間の核Ker f がx軸に平行な時の商空間はKer fに平行な直線のあつまりってイメージできるけど、もし線形写像fのKer fが3次元だっ… https://t.co/1iQCw56JG6,0,0
121,2018-10-11 22:05:06,平面が平行 → 分かる 空間が平行 → は？,0,0
122,2018-10-11 00:50:06,なんで大学生の時に気づけないのかねー,0,0
123,2018-10-11 00:44:35,5ヶ月かけて高2数学からやり始めて今に至るが、やっと(カリキュラムを見た所感)大学初年次の3ヶ月くらいかなぁという感じ。数学の勉強にはとてつもなく長期的な継続が必要だと感じた。これが分かっただけでも収穫。半年くらいで大学数学なんとかなるっしょというめちゃあほな思い込みが解けた。,0,0
124,2018-10-11 00:09:51,今年いっぱい集合と位相、解析、線形代数(とその応用)、統計に絞った方がいい気がしてきた。(十分重い)何でもかんでも先に進めようとするときっちりできてないところで突っかかってしまう。,1,0
125,2018-10-11 00:04:06,めも node.js: サーバーサイドでJavascriptを実行するための実行環境,0,0
126,2018-10-10 15:55:07,勉強始めた頃に比べて微積分・線形代数少しずつ扱えるようになって機械学習の勉強に少しずつ入れそうとなっていたのに、TLの方々が(何勉強するかは全く知りませんが難しいと聞いてる)測度論、関数解析が必要と言っているのを見てしんどくなって… https://t.co/0YSNQ3Y6tr,0,0
127,2018-10-10 15:14:12,線積分・面積分になったら急に難易度上がった気がするんですが… 物理やったことないから余計イメージしづらい… どうしたものか,1,0
128,2018-10-10 09:12:29,とりあえずWebサイト作ってみたくなったのでHTML/CSS/Javascript復習せねば。時間がいくらあっても足りないのは今に限った話ではないのでちょっとずつ続けることが大事。(すぐ投げ出しがちなので),0,1
129,2018-10-10 08:46:07,わぁー著者本人からコメントいただけたーー,0,0
130,2018-10-10 08:43:48,帰宅,0,0
131,2018-10-09 23:37:49,はむかずさんという方の著書、機械学習のエッセンスを毎朝晩とちょっとずつ読み進めております。今のところ４章まで読み終わり、Pythonで実装したコードをGitHubの練習、勉強記録を兼ねて公開してみました。（GitHubの使い方とし… https://t.co/35AZOuCXTe,28,2
132,2018-10-09 17:14:03,これは単に近傍であればあるほど直線に近いから低次の項(1次、2次)で近似できるということか https://t.co/jfgKzmzb5H,0,0
133,2018-10-09 16:52:01,テイラー展開の高次の項を考えるほど元の関数(その点から離れた場所)をより近似できるって感覚が分からなくなってきた…,0,0
134,2018-10-09 15:27:14,今日は寝る前に線積分をやっていきます。どうやら積分する経路に依存して値が異なり得るみたいです。,0,0
135,2018-10-08 23:40:48,ラグランジュの未定乗数法は気力が残ってたら今日中にやります。,0,0
136,2018-10-08 23:19:54,"Newton法の実装どこが間違えてるのかわからなす。等高線プロットしたら綺麗にf(x, y) = 0のところ避けるように最適解がプロットされた。なぞい。 https://t.co/82E7KUFCyD",1,0
137,2018-10-08 22:47:38,Newton法収束しないのですが…,0,0
138,2018-10-08 18:30:40,最急降下法の実装でステップ幅αを大きくして発散したときってPythonの中でどうやって計算が止まるんだろうか。Infがでたら計算止まるようにできてんのかな。 https://t.co/n98aiiVi5F,1,0
139,2018-10-07 10:38:37,作ってる人みんなすげえ,0,0
140,2018-10-07 02:50:34,Pythonの3次元プロットにax.text()でアノテーションすると、https://t.co/dPnys8gL6J()した時にブロードキャストのエラーが出るのなんでだ… https://t.co/dPnys8gL6J()すると… https://t.co/DQX6OeBUL4,0,0
141,2018-10-06 22:48:32,統計の基礎まとめてPythonで書いて英語でコメントと解説してみようかと思ったが、よくよく考えたら洋書の統計学の教科書読んだ方が手っ取り早いんじゃないかと思ってきた。,2,0
142,2018-10-04 23:21:30,mファイルから変換したらファイルがバグって同じラベルがめっちゃ複製されてんだけどなんなんだまじで…がん萎え,1,0
143,2018-10-03 07:29:14,励みになるのでどんどん言って欲しい &lt;RT,0,0
144,2018-10-03 07:12:44,聞いたことある→分かった(気がする)→理解できた→(簡単な例で)使える→(実践的に)使える,1,0
145,2018-10-03 00:28:59,ほんとに皆さん勉強熱心ですね(皮肉では全く無いです) https://t.co/a6ZHZtI8Q2,0,0
146,2018-10-03 00:25:34,Qiitaのオブジェクト指向の記事、コメント欄を見て自分の中でしっくり来た解釈は「インターフェースの共通化」と「プログラムの構造化・整理」。,2,0
147,2018-10-02 23:05:03,最良線形不偏推定量が分からぬ,0,0
148,2018-10-02 21:46:13,回帰分析における誤差項: 説明変数で説明できない部分,0,0
149,2018-10-02 18:06:51,自分がどうなりたいのかを明確にしながら進むのか、目の前のこと遮二無二やっていたらいつのまにか立派になっていたのか。,0,0
150,2018-10-02 18:04:37,夜更かししてSHIROBAKO見終わった。いま進行中の全てのことに対するモチベーションが上がった。(単純),1,0
151,2018-10-02 14:10:32,例外ケースの対処の仕方・コツみたいなのだれかブログでまとめてないのかな。境界条件の対処法みたいな,0,0
152,2018-10-02 11:01:29,個人差はかなりあると思うけど、B問題までが慣れ、C問題以降を解けるようになるとこから急に壁を感じます https://t.co/YFhW9MqrMR,0,0
153,2018-09-29 23:18:17,部分点すらもらえないのか…,0,0
154,2018-09-29 20:57:15,C通したあと即寝て競プロ初めて以来初のD問題に挑戦し始めたが、問題の把握が難しい,0,0
155,2018-09-29 13:48:37,C問題2つWAあって原因が分かったのに実装しきれなかった。悔しい。,0,0
156,2018-09-29 13:47:51,ABC111 1時間40分 AC: AB WA: C #AtCoder,0,0
157,2018-09-27 08:30:39,まず公式ドキュメントを読みましょう(自戒,0,0
158,2018-09-25 06:23:37,集合と論理、グラフ理論、論理回路とか勉強してるとだんだんリンクしてくるんかね,1,0
159,2018-09-24 19:12:49,冗長な部分のモジュール化少し出来るようになってきたか？,0,0
160,2018-09-24 11:52:36,t統計量に関して、 t = Z/√(Y/k) のZとYが独立ってどうして言えるんでしょか。標本平均と標本不偏分散って独立になりえんのか,0,0
161,2018-09-24 10:54:31,標本分布を考えるときとりあえず統計量が特定の確率分布に従うことを示せれば分布表に従って確率を考えることができるから、統計量が従うなにかしらの確率分布に落とし込めればokという理解でいいのだろうか,0,0
162,2018-09-23 15:06:39,検定と回帰分析と分散分析を別個にして考えてた(というか理解出来てなかった)けど、一貫して線形モデルの上に成り立ってるっていう考え方がようやく理解出来た。一般化線形モデルまであと少し。,0,0
163,2018-09-23 13:46:21,何週間ぶりかの参加。CはTLEを解決できず。,0,0
164,2018-09-23 13:45:40,ABC110 1時間40分 AC: AB WA: C #AtCoder,0,0
165,2018-09-23 10:21:26,Fake it till you make it.,1,0
166,2018-09-23 03:30:11,ざっと読んだ後に詳しく読む戦法でだいぶ苦しくなくなった。初めからじっくり読んでくと自分はしんどくなってしまう。,0,0
167,2018-09-23 03:28:54,しばらくの間数学が苦しくてできていなかった。今日は多変数関数のテイラー展開とヤコビアンの勉強をやっていきます。,0,0
168,2018-09-21 21:34:36,めっちゃ強い人っぽいのが溢れて出てるが心意気は真似ていきたい,0,0
169,2018-09-19 14:55:31,ポアンソ回帰,0,0
170,2018-09-19 13:14:14,statsmodelsのクラスの設計複雑すぎませんか…,0,0
171,2018-09-18 17:00:45,対数尤度の計算が合わなくて苦しんでる,0,0
172,2018-09-18 16:47:36,尤度: パラメータが与えられたときに手元のデータが同時に得られる確率 最尤推定: 尤度を最大にするようなパラメータを推定するための手法。,0,0
173,2018-09-17 05:53:14,テイラー展開: 剰余項が0に収束するとき、関数f(x)がx=aにおける(n-1)次までの微分係数を使って、(x-a)の多項式で近似される。,0,0
174,2018-09-17 03:11:33,しばらくハッタリかましてそれに追いつく戦法でいきます,0,0
175,2018-09-15 01:13:20,忘れないうちにSQLの基礎はブログかなんかにまとめておきたい,0,0
176,2018-09-14 21:56:24,SUITS、さすがに無理があるのでは...,0,0
177,2018-09-13 08:38:03,ε-N論法がすらすら頭に入ってくるよ！,0,0
178,2018-09-11 20:27:06,"まさにはまっていたエラー。自分の場合、コマンドラインでオプション""--local-infile=1""を指定してもクライアント側のcsv読み込めなくて、結局setで変数を直接書き換えて解決した。コマンドライオプションが反映されないの… https://t.co/fUb0vjPR5l",0,0
179,2018-09-11 09:41:05,クラス分類の決定境界のプロット、めnp.meshgrid()以外の方法ってあるんか？,0,0
180,2018-09-09 22:26:09,長いものには巻かれろとはよく言ったものものです,0,0
181,2018-09-08 02:02:35,前回Aしか解けず毛ほども動かなかったレートを動かしに行こうじゃないか！！！！,0,0
182,2018-09-07 10:34:00,JavaScript出来ないとこれから先やっていけない感,0,0
183,2018-09-07 10:01:59,DOMの扱い方とhtml、xmlのパース少しずつ掴めてきた,0,0
